zip3,Asthma_Count,NO2_avg,O3_avg,Population_sum
112,3658,22.848888342,35.674569322,828418.0
104,5708,19.936941477142856,32.56972541428571,1020505.0
100,1843,22.715504938000002,30.223221860000002,1536090.0
101,34,,,
113,936,20.008128564,36.122073518,996307.0
110,167,17.64972749,38.18201497,196482.0
111,155,21.964268247142858,36.51762316857143,1450426.0
114,1088,20.16776547,37.433971975,492613.0
116,141,11.90192295,43.33287409,123800.0
103,614,18.17965488,34.270027625,401825.0
